chr9	93437291	93438626	-
chr1	19376336	19378535	-
chr1	23953076	23956515	-
chr1	220112120	220112440	-
chr1	243793580	243794259	-
chr9	87553590	87553894	+
chr9	131262737	131270291	-
chr1	206067698	206072313	-
chr1	150142931	150144708	+
chr1	23948885	23953069	-
chr1	92834880	92836226	+
chr9	137103634	137103751	+
chr9	137103751	137103828	+
chr1	235751378	235752004	-
chr9	93672683	93672719	+
chr1	154429236	154434546	+
chr1	31100282	31105541	+
chr1	203348277	203349245	-
chr1	244899248	244907384	-
chr9	126718466	126719670	+
chr1	65913360	66040698	+
chr1	243362335	243362392	+
chr1	209428882	209429180	+
chr1	84175056	84175798	+
chr1	2765274	2765436	+
chr1	95316937	95317823	-
chr1	156246756	156247509	-
chr1	230868918	230869481	-
chr9	112452553	112453691	-
chr9	128112649	128113477	-
chr9	135561897	135562359	+
chr1	1315614	1323176	-
chr1	206058594	206067692	-
chr9	93672431	93672467	+
chr9	63334734	63335176	+
chr1	2206667	2207555	-
chr9	136364162	136364552	-
chr1	244864731	244899182	-
chr1	85707936	85708053	-
chr9	133387842	133388431	+
chr9	121341389	121348086	-
chr9	68323906	68323945	+
chr1	247452441	247454952	-
chr9	505169	505259	-
chr1	83981569	83983831	-
chr9	137103094	137103209	+
chr9	137101912	137102264	+
chr9	136975911	136976548	+
chr1	2770884	2771206	+
chr1	215573834	215574066	+
chr9	77915226	77915348	-
chr1	243525580	243544772	-
chr1	23956518	23958101	-
chr9	192353	198126	-
chr1	172532798	172533176	+
