chr9	105506608	105508616	+
chr1	6533441	6541829	-
chr1	247419077	247423229	+
chr1	40991845	40995916	+
chr1	155203137	155203222	-
chr1	214358050	214364511	-
chr9	100284603	100292325	+
chr1	23797147	23797694	-
chr1	183550921	183551044	+
chr1	1313921	1314300	-
chr1	40190853	40195631	+
chr9	99928843	99951059	+
chr1	22589206	22593325	+
chr1	156585231	156585712	+
chr9	27047371	27048147	+
chr9	105364720	105365482	+
chr9	137814508	137815946	+
chr1	186144703	186145402	+
chr1	19140892	19141346	-
chr1	6678467	6680907	-
chr9	114076740	114078092	-
chr1	156656389	156656937	+
chr1	50788205	50801630	-
chr9	98132301	98133037	-
chr1	158671453	158672058	-
chr1	183235730	183236459	+
chr1	220763050	220780017	+
chr1	6462666	6462862	-
chr1	53103568	53105731	-
chr1	237831565	237832551	+
chr1	205592287	205597779	+
chr9	92310261	92310552	-
chr9	37126942	37302187	+
chr1	51118801	51145723	+
chr1	77050365	77062974	+
chr1	9731896	9733400	-
chr1	67219730	67236712	+
chr1	193023036	193023843	-
chr1	39439500	39441002	+
chr9	69227873	69227980	+
chr1	186300213	186301591	+
chr1	111318678	111319119	+
chr1	57062943	57069359	-
chr1	186676713	186676832	-
chr9	131483445	131484685	+
chr1	114739890	114749820	-
chr1	119755597	119757272	-
chr1	46189989	46190472	-
chr1	205069561	205069826	+
chr9	136722301	136722961	+
chr1	159171853	159191935	+
chr1	46277980	46278071	+
chr9	33941862	33943419	-
chr1	10693912	10705491	-
chr1	6595557	6599046	-
chr1	156658271	156658542	+
chr1	150441958	150443230	+
chr1	220618546	220618635	+
chr9	36674937	36677159	+
chr1	33325019	33328869	-
chr1	11069730	11070899	-
chr9	120865830	120866027	-
chr1	10345953	10347760	+
chr1	43691572	43692255	+
chr9	86035625	86036347	-
chr1	186355558	186355634	-
chr1	52907954	52911565	-
chr1	173978620	173980808	-
chr9	135696805	135697505	-
chr1	10705544	10760700	-
chr1	20745656	20747543	-
chr9	20986465	20988331	+
chr1	246913412	246916141	-
chr1	230780708	230785980	+
chr1	60001156	60010391	-
chr1	35474906	35478965	-
chr9	133353940	133354658	-
chr9	129875479	129875559	+
chr9	39078920	39085735	-
chr9	81616699	81620440	-
chr9	112142499	112143470	-
chr1	236808773	236810502	+
chr1	37576556	37582222	-
chr1	36456378	36457922	-
chr9	130090983	130092247	+
chr9	100302304	100303631	-
chr1	19254840	19255947	+
chr1	39749088	39752909	+
