chr1	150142931	150144708	+
chr9	65704588	65708139	+
chr1	3739371	3739835	-
chr1	4552049	4552177	-
chr9	136975911	136976548	+
chr1	243793580	243794259	-
chr1	31105593	31107621	+
chr1	231805665	231805717	-
chr1	145572933	145573202	-
chr1	52139800	52141192	+
chr1	235751378	235752004	-
chr1	41382209	41382210	+
chr9	137103634	137103671	+
chr1	206058594	206067692	-
chr9	137102931	137103011	+
chr9	104094805	104095323	+
chr1	150578963	150579422	-
chr1	2206667	2207555	-
chr1	63407126	63411145	+
chr1	2776250	2776369	+
chr1	174794197	174794839	+
chr1	23948885	23953069	-
chr1	32204620	32205193	+
chr1	151176897	151178135	-
chr1	205236958	205237183	-
chr1	171210799	171210963	+
chr9	137102034	137102775	+
chr9	127818711	127821194	+
chr9	62158	68052	+
chr1	23956518	23958101	-
chr1	117153249	117156659	-
chr9	97094003	97094730	-
chr1	244375467	244378442	+
chr1	206680587	206681174	+
chr9	36401585	36401893	-
chr9	126718466	126719670	+
chr1	95316937	95317823	-
