chr1	15112973	15114409	-
chr1	175329510	175333432	+
chr1	154199332	154203304	+
chr1	180183353	180183498	-
chr1	31631223	31640780	+
chr1	213989135	213989987	-
chr9	84867718	84891542	-
chr1	167457529	167458168	+
chr1	4733030	4739910	-
chr9	34382771	34392677	+
chr1	169967445	169989949	+
chr1	43701444	43702655	-
chr1	22863299	22869842	-
chr9	137793621	137796004	-
chr1	18197582	18199339	-
chr9	16543591	16544964	+
chr1	172292480	172361945	-
chr9	110781835	110784812	-
chr9	133959685	133960135	+
chr1	111857123	111859271	+
chr9	124311647	124312410	-
chr9	135790122	135791019	-
chr9	111726175	111763652	+
chr1	26848749	26855866	-
chr1	71758141	71763346	+
chr9	124346178	124346800	-
chr1	162113902	162117961	-
chr1	214022440	214028518	-
chr1	64128031	64156937	-
chr1	43340255	43340372	-
chr1	206564419	206580691	-
chr1	39521033	39529054	-
chr1	176777426	176810596	-
chr1	71763485	71764524	+
chr9	37523001	37529149	+
chr1	100501323	100502378	-
chr1	65941337	65970679	-
chr9	121284853	121284948	-
chr1	245562195	245575547	-
chr1	176778149	176820164	-
chr9	8330327	8347785	+
chr1	145868463	145879750	+
chr1	247439533	247448479	-
chr9	95504999	95505140	+
chr1	152303355	152314905	+
chr9	28599250	28620197	+
chr9	77555705	77592751	+
chr1	201897121	201913174	+
chr9	34381640	34388666	+
chr1	246161078	246161373	+
chr1	231022234	231022338	+
chr1	231858826	231866877	-
chr9	112396568	112396847	-
chr1	241135019	241144717	+
chr1	212962237	212977627	-
chr1	59991656	59995559	+
chr1	150261616	150262228	-
chr1	69691287	70038591	-
chr9	532003	542593	-
chr1	175431963	175433035	+
chr1	156372627	156379596	-
chr1	7582184	7587601	-
chr1	3562060	3567883	+
chr1	25484374	25485213	-
chr1	69725425	69766592	-
chr1	246161078	246161408	+
chr9	13127652	13127770	+
chr9	702493	711164	-
chr1	72231408	72232869	+
chr9	19511207	19576356	+
chr1	241725771	241728734	-
chr1	91270136	91280588	+
chr9	121736919	121758472	-
chr1	110365280	110365649	+
chr1	157689295	157694556	+
chr1	230703708	230706968	+
