chr1	19785479	19787025	-
chr1	143511552	143512851	+
chr1	145794196	145795142	-
chr9	2425536	2493074	-
chr9	61856814	61861977	+
chr9	90158987	90160315	+
chr1	234676102	234680810	+
chr9	104530332	104556311	-
chr1	147225066	147225573	-
chr9	128505034	128507215	+
chr1	228209764	228212520	-
chr9	94555107	94558968	+
chr1	744391	749237	-
chr1	178529147	178531467	-
chr9	33474197	33487239	+
chr1	248857436	248857738	-
chr1	48050813	48053545	+
chr1	145643978	145645646	+
chr9	121286761	121300055	+
chr1	27730333	27732602	+
chr1	248082905	248095403	-
chr1	46175409	46177658	+
chr1	150110627	150142837	+
chr1	174794197	174794839	+
chr1	205775091	205775401	-
chr1	116032800	116033757	+
chr1	155190202	155190379	-
chr1	177973309	177984205	-
chr1	243305123	243307786	+
chr1	226089654	226090224	+
chr1	144627237	144628536	-
chr1	114868874	114871085	+
chr1	20919309	20928042	+
chr1	16396312	16396557	-
chr1	183461961	183469673	-
chr1	152863460	152867809	-
chr1	84533766	84543100	+
chr1	243525580	243544772	-
chr9	111284830	111285154	-
chr1	186425297	186431205	+
chr1	2553814	2554100	-
chr1	23109650	23129224	-
chr9	97938191	97944767	-
chr1	70025178	70031131	-
chr1	148784591	148791851	-
chr9	93672683	93672719	+
chr9	74359741	74371333	-
chr1	59807628	59810226	-
chr1	22024966	22025963	-
chr1	23953076	23956515	-
chr9	98697599	98701101	+
chr1	7811604	7827046	-
chr1	18173681	18175950	-
chr9	24539585	24543589	+
chr1	1321984	1323180	-
chr9	92826578	92828937	+
chr1	31107705	31107966	+
chr9	106310489	106313165	+
chr1	241770685	241771660	+
chr1	57022145	57048109	+
chr1	50318406	50321016	-
chr9	7958628	7960567	-
chr1	95992122	95992402	+
chr1	143509335	143511475	+
chr1	243362335	243362392	+
chr1	42533951	42534888	+
chr1	179856170	179877238	-
chr1	49492286	49513673	+
chr9	137103094	137103209	+
chr9	86237160	86259549	-
chr1	90475969	90478767	-
chr1	156483418	156500485	-
chr9	40205077	40211346	+
chr1	67527437	67529652	+
chr9	2425540	2452948	-
chr1	154435156	154435974	+
chr9	13258733	13265217	-
chr1	47229351	47231656	-
chr9	121341389	121348086	-
chr9	62288070	62294427	-
chr9	104094805	104095323	+
chr1	156495266	156496553	-
chr9	133370963	133371051	-
chr1	205382144	205385232	+
chr1	89128644	89148586	+
chr9	121339641	121349158	-
chr1	232910845	232912958	+
chr1	150573821	150574123	-
chr1	209260418	209265460	-
chr9	34381444	34381525	-
chr1	99934217	99937530	-
chr1	86279125	86279431	-
chr1	45754741	45760646	+
chr1	16760490	16760750	-
chr1	16218187	16218639	-
chr1	171210717	171210799	+
chr1	117596994	117604788	-
chr9	136364162	136364552	-
chr9	36599486	36603989	+
chr1	45500413	45507304	+
chr1	110473794	110473943	+
chr9	101399466	101399925	+
chr1	215423711	215423895	+
chr1	151002400	151006311	-
chr1	19411181	19416317	+
chr1	49268259	49269068	+
chr9	114309832	114318193	-
chr1	34547632	34559113	-
chr1	223391750	223392653	-
chr1	149338400	149345660	+
chr1	212610847	212615065	+
chr1	44044011	44046046	+
chr1	53916397	53916778	-
chr1	144440295	144448856	-
chr1	157797129	157797746	-
chr9	23693315	23693447	-
chr1	159006041	159009050	+
chr9	94929703	94929974	+
chr1	50317658	50321016	-
chr1	116031811	116033757	+
chr9	2425540	2448759	-
chr1	91491124	91498514	-
chr1	15153233	15210487	+
chr9	65704588	65708139	+
chr1	172415374	172421714	-
chr1	151216000	151224247	+
chr1	222835191	222836995	+
chr1	218717524	218720532	-
chr1	149094132	149098437	-
chr1	14294524	14294693	+
chr9	99367808	99369731	-
chr1	209211886	209226723	-
chr1	9085142	9094162	-
chr9	128492769	128494560	+
chr1	84651997	84655464	-
chr1	173601716	173602750	-
chr9	35808306	35809403	-
chr1	90530586	90531621	-
chr9	97128882	97130642	-
chr1	7702658	7703106	-
chr1	143509335	143512854	+
chr1	220112120	220112440	-
chr1	16431422	16437127	-
chr1	222504481	222504560	+
chr1	206829126	206833713	+
chr9	61926019	61937029	+
chr1	146524849	146525418	+
chr9	137550191	137550283	-
chr1	170533651	170536309	+
chr1	156483418	156490511	-
