chr1	113430775	113450990	-
chr1	3779834	3796005	+
chr9	34003997	34045649	+
chr1	1663401	1663966	+
chr1	51240510	51272412	-
chr9	20343842	20425697	+
chr1	245375174	245429701	-
chr9	89453802	89475846	+
chr1	52255474	52300973	-
chr1	156205637	156212269	-
chr9	132216230	132242469	-
chr1	161849300	161864135	-
chr1	109262846	109274210	-
chr1	215576681	215587377	-
chr1	239787519	239788949	-
chr1	37934984	37937097	+
chr9	105337331	105395420	-
chr1	248811250	248819557	+
chr9	15494500	15503302	+
chr9	109979155	110025145	-
chr1	77715467	77716322	+
chr1	59595430	59644851	-
chr1	234416439	234424947	+
chr9	84889494	84966513	-
chr1	92396628	92396952	-
chr9	35712075	35717220	+
chr1	111631393	111712668	-
chr1	44217549	44219136	-
chr1	39375533	39386662	-
chr1	44432352	44446641	-
chr1	110151519	110198764	-
chr1	177212541	177266634	-
chr1	84644705	84669696	+
chr1	16992122	17010858	+
chr1	44278591	44324472	+
chr9	69212923	69254490	-
chr9	128229018	128229559	-
chr1	160081929	160087571	-
chr1	205070986	205077898	-
chr1	65608301	65609603	-
chr9	74753625	74789751	+
chr1	153813954	153865437	+
chr9	15468799	15482803	+
chr1	36472332	36482092	+
chr9	94277685	94295082	-
chr1	111775253	111796524	+
chr1	43570959	43605273	-
chr1	7701754	7702381	-
chr1	150274783	150275373	-
chr9	84807397	84814355	-
chr1	2354876	2369355	+
chr1	1557199	1568958	+
chr9	127506881	127524515	+
chr1	162709423	162784656	-
chr9	127941560	127942462	+
chr9	128234902	128248014	-
chr9	94430135	94454596	-
chr1	113708394	113709139	+
chr9	91895637	91901610	+
chr1	27347797	27349039	-
chr1	236732736	236750841	-
chr1	2766565	2768340	+
chr1	175331358	175413120	+
chr9	128328584	128328791	-
chr1	246123336	246169672	+
chr1	100386089	100435746	-
chr1	83866481	83890190	+
chr1	62195535	62202082	-
chr1	234169273	234230692	-
chr1	33148501	33163826	+
chr9	133856406	133872483	+
chr1	145875691	145881179	+
chr9	536077	551930	-
chr1	154445490	154464698	-
chr1	245316372	245362722	-
chr9	74726448	74757075	+
chr1	15941999	15945940	+
chr9	132893227	132919974	+
chr1	31732473	31738872	+
chr9	105357685	105390430	-
chr9	114169131	114200006	-
chr1	244674076	244693513	-
chr9	110047663	110070977	-
chr1	50922063	50931630	+
chr1	230317471	230393622	+
chr1	50622063	50629961	+
chr1	236237350	236238076	+
chr9	110059122	110113756	-
chr1	6063497	6099714	-
chr1	99730796	99765530	+
chr1	154228275	154233412	-
chr1	212435703	212438775	-
chr1	2689221	2692751	+
chr1	181092268	181092523	-
chr1	113762390	113800612	+
chr1	39626146	39627656	+
chr1	161041768	161045380	+
chr1	162515858	162517124	-
chr1	226990121	227027917	+
chr1	77948282	77951169	+
chr1	25547901	25560255	-
chr1	204982355	204989010	-
chr1	78015449	78017498	-
chr1	19215899	19216901	+
chr1	226603705	226608182	-
chr1	27548191	27550256	+
chr1	178383672	178431280	-
chr1	2652291	2686808	+
chr1	116590041	116590651	+
chr1	3633472	3640271	+
chr9	132392169	132392276	+
chr9	33045181	33046109	+
chr1	181587620	181663595	-
chr1	179123292	179127818	+
chr9	26865459	26871512	+
chr9	126498453	126502347	-
chr9	137098988	137100738	-
chr1	39357718	39373339	-
chr1	91358849	91387352	+
chr1	211340665	211373105	-
chr1	234410231	234410835	+
chr1	203486839	203491180	-
chr1	43656419	43656807	-
chr1	109216945	109236001	-
chr1	64622150	64658715	-
chr1	12093810	12099908	-
chr1	6053782	6099360	-
chr1	88976143	88984488	+
chr1	109333070	109359642	+
chr1	56495251	56514558	+
chr9	111434993	111476757	+
chr1	2687009	2691749	+
chr9	86027374	86072193	+
chr1	155392724	155424642	+
chr1	151693743	151698919	-
chr1	236721102	236764134	-
chr1	27773301	27785625	-
chr1	63387772	63398707	-
chr1	53237075	53237577	+
chr9	110925694	110941810	+
chr1	2747521	2748245	+
chr9	128283559	128288790	-
chr9	128842935	128866809	+
chr1	153731989	153745238	-
chr1	92841261	92841410	-
chr9	94961488	94989609	-
chr1	27131856	27147929	+
chr1	54835273	54839459	-
chr1	32942925	32958501	+
chr1	38019700	38023919	-
chr1	46304495	46311873	-
chr1	175160220	175190001	+
chr1	39563237	39565130	+
chr1	54676796	54699391	-
chr1	10637227	10639962	+
chr9	128468604	128482977	-
chr1	224246054	224254418	+
chr1	162710606	162785541	-
chr1	203482155	203483355	-
chr1	235620136	235645704	+
chr1	108765018	108792010	-
chr1	36299206	36304888	-
chr9	108913265	108918186	+
chr1	20839751	20863679	+
chr9	137012785	137015696	+
chr1	6103211	6148952	+
chr1	160290062	160315318	+
chr1	6646845	6653828	+
chr1	204975605	205020299	-
chr1	28152035	28157771	+
chr1	110011203	110021764	-
chr9	130195756	130218789	-
chr1	46800778	46808318	-
chr9	137650212	137713210	-
chr9	126416662	126454861	-
chr9	36386945	36391890	+
chr9	129915574	129961796	+
chr1	6382890	6383188	+
chr1	160117259	160143107	-
chr1	2138116	2184626	-
chr1	236454296	236461070	-
chr1	1637189	1657693	+
chr1	235281323	235287166	+
chr1	237120247	237132796	-
chr1	3153659	3154170	-
chr1	204975383	204987221	-
chr1	236145440	236145939	-
chr1	156312962	156335228	+
chr9	83975244	83977703	+
chr1	1662710	1682787	+
chr1	77698595	77705550	+
chr1	20743214	20750125	+
chr1	120437062	120443416	-
chr1	35438583	35527966	+
chr1	51358981	51375278	+
chr1	65186600	65229560	-
chr9	75929177	75994666	-
chr1	35482706	35496211	+
chr9	123749820	123807527	+
chr9	5467928	5468132	-
chr1	12580585	12587817	+
chr1	13482349	13497867	+
chr1	153959442	153959556	+
chr9	127741877	127741980	+
chr9	111539758	111539869	-
chr1	223545918	223547008	+
chr1	77953426	77965952	+
chr1	92836296	92837511	-
chr9	137007702	137019115	+
chr1	52908359	52908792	+
chr9	119168847	119184082	+
chr1	1426778	1429147	-
chr1	43581738	43623121	-
chr1	153390245	153390408	+
chr1	100191810	100217495	+
chr1	20637053	20645596	-
chr9	114288321	114306580	-
chr1	246927935	246929949	+
chr1	246375872	246376007	+
chr1	70151676	70205414	+
chr9	123084383	123090325	-
chr1	203717728	203725235	-
chr9	72902955	72918721	+
chr1	112698637	112699644	-
chr1	26714501	26721299	-
chr1	27253090	27269696	-
chr1	154573868	154579403	-
chr9	93259474	93296876	-
chr1	52257822	52284507	-
chr1	36162500	36171234	-
chr1	246427305	246433447	+
chr1	2754624	2772983	+
chr9	35792330	35795502	-
chr9	138006392	138053227	-
chr1	110161954	110199318	-
chr1	2750972	2772943	+
chr9	105607581	105640290	-
chr9	36635518	36660803	-
chr1	205532442	205532561	-
chr1	120156332	120159592	+
chr9	131512109	131520492	-
chr1	226954227	226978599	-
chr1	39431713	39443460	-
chr1	28471017	28483440	-
chr1	94906181	94917239	+
chr9	129837043	129881409	-
chr1	17257061	17268306	-
chr9	127636061	127636799	-
chr1	33091465	33114597	-
chr1	222635811	222666710	-
chr1	241087717	241138075	+
chr1	16931997	16964028	-
chr1	174787184	174818657	-
chr1	32132084	32168271	-
chr9	14754869	14759445	+
chr1	56996577	57061206	+
chr1	155322437	155322703	-
chr1	53245066	53290189	+
chr1	2174393	2179411	-
chr1	16960020	16964028	-
chr1	70996555	70996758	+
chr9	76692743	76703847	+
chr1	150457810	150468751	-
chr9	137316835	137349412	+
chr9	132755958	132839135	+
chr9	94898444	94943419	-
chr1	35336474	35400289	-
chr1	37811734	37815116	+
chr1	153757977	153764995	-
chr9	18809571	18819237	-
chr1	174853653	174856849	-
chr1	93455160	93505909	-
chr9	128870566	128879239	+
chr9	124738728	124750484	+
chr1	57347635	57375827	+
chr1	109249898	109258922	-
chr9	129108944	129109154	+
